date,Trans,Visits,Net_Sales
2014-11-14,434.0,1690.0,23263.11
2014-11-15,848.0,3706.0,46098.28
2014-11-16,466.0,2096.0,24257.1
2014-11-17,275.0,1013.0,16302.680000000002
2014-11-18,296.0,1003.0,15188.12
2014-11-19,304.0,1023.0,15406.18
2014-11-20,306.0,1099.0,16779.370000000006
2014-11-21,439.0,1551.0,21847.34
2014-11-22,813.0,3469.0,44846.79
2014-11-23,489.0,2214.0,26201.89
2014-11-24,339.0,1373.0,18851.48
2014-11-25,386.0,1518.0,19496.19
2014-11-26,674.0,2276.0,41817.63000000001
2014-11-27,0.0,4055.0,0.0
